Topic,Count,Name,Representation,Representative_Docs_x,Representative_Docs_y
9,54,9_pantry_food_accessible_expand,"['pantry', 'food', 'accessible', 'expand', 'use', 'idea', 'more', 'good', 'easily', 'provide']","['more food at the food pantry ', 'a food pantry ', 'food pantry']","['the food pantry and cosmo cares is good assistance  ', 'dacc is opening a food pantry today wednesday february 15 2023', 'expand on its new food pantry', 'opened a food pantry', 'keep open pantry']"
10,54,10_affecting_me_not_affect,"['affecting', 'me', 'not', 'affect', 'affected', 'does', 'it', 'unaffected', 'effecting', 'matter']","['it is not affecting me', 'it is not affecting me ', 'it is not affecting me']","['not affecting it', 'not affected ', 'it does not affect it', 'its not affecting me', 'not affecting at all']"
11,54,11_all_at_not_,"['all', 'at', 'not', '', '', '', '', '', '', '']","['not at all', 'not at all', 'not at all']","['not at all', 'not at all', 'not at all', 'not at all', 'not at all ']"
12,51,12_affect_work_my_doesnt,"['affect', 'work', 'my', 'doesnt', 'it', 'affecting', 'does', 'let', 'not', 'affects']","['it does not affect my work', 'it does not affect my work', 'it does not affect my work  ']","['its not impacting my work', 'does not affect my work', 'i am very secure so it does not impact my work  ', 'it doesnt really affect my work because i dont think about it', 'i have a job i need i dont let it affect my position']"
13,51,13_survey_thank_this_you,"['survey', 'thank', 'this', 'you', 'hope', 'conducting', 'answers', 'your', 'for', 'results']","['thank you for the survey ', 'no thank you for this survey', 'thank you for this survey ']","['put up flyers and send emails like the one that had this survey', 'this survey is useless and pointless because those asking for this information are not going to do anything such as pay a livable wage offer affordable insurance to their employees why are we wasting our time for a 40 gift certificate that wont even cover 40 worth food 40 on a bill payment or is just going to help with a one time payment of gas waste of time this survey was', 'im glad this survey is being done and i look forward to seeing the results', 'i wish you the best of luck with this survey and helping our communities  thanks ', 'im saddened that this survey seemed necessary we can and should take better care of each other peace']"
14,50,14_housing_rent_afford_rentals,"['housing', 'rent', 'afford', 'rentals', 'here', 'market', 'in', 'live', 'senior', 'want']","['rent for housing in gallup is high home prices are also expensive i dont know if i would qualify for a mortgage out here even though ive previously owned 2 other homes but if i did the money we saved between the rent and the mortgage would go to student loans i couldnt even use that  to offset the costs of inflationcola', 'i am currently living in senior housing but now that im working full time i will have to find new housing rents are so high i have been searching for a house but cant find anything in my approval range that doesnt require major repairs i cant afford im very worried about finding affordable housing when i have to leave here anxietydepression when condos i thought i might be able to afford fell through because of huge repair costs i normally do not have anxietydepression', 'i feel very fortunate to have a relative who can help me out financially if not for her we would have to move out of the area andor look for other jobs currently live a half hour drive from sfcc the only reason we didnt have to leave the area entirely was by sheer luck our studio apartment rent in town doubled during covid a rental opportunity was miraculously presented to us please we need to regulate the air b and bs and other short term rentals housing incentives for state employees could be a good way to remain competetive as housing costs continue to increase and availability continues to decrease thanks']","['i am always concerned about moving to another state because of my lack of social contact with people', 'because we cannot afford one apartment large enough for the two of us my partner and i each rent separate units on the same property this requires a lot of additional time planning and spending to maintain and has contributed to feelings of burnout', 'rent is too expensive and was forced to move back with parents will probably end up leaving abq to find a good home at a decent price the housing market is terrible and cant afford a 200000 house on my salary', 'its too exspensive and hard to find places that i can afford', 'rent for housing in gallup is high home prices are also expensive i dont know if i would qualify for a mortgage out here even though ive previously owned 2 other homes but if i did the money we saved between the rent and the mortgage would go to student loans i couldnt even use that  to offset the costs of inflationcola']"
15,48,15_students_impacts_worry_affects,"['students', 'impacts', 'worry', 'affects', 'my', 'class', 'personally', 'it', 'ability', 'greatly']","['it doesnt affect me but i worry about my students', 'it impacts my work as it impacts my students my students experiencing food or housing insecurity need more supports from me as their instructor  supervisor ', 'i worry for my students it does not affect me personally']","['itâ€™s not really affecting me personally but i do occasionally see students who are affected by it and they often end up struggling in their classes', 'it does not directly affect me it affects the students and adjuncts i work with which i find disturbing ', 'how can you even think about reviews or comparing your assignments or grading when you have to do it safe for your kids and you to live it knowing it was temparary didnt make it any easier ', 'i know students who deal with this and whom i do not know how to help', 'not me directly but impacts on my students makes job harder more stressful ']"
16,48,16_pantry_campus_food_the,"['pantry', 'campus', 'food', 'the', 'main', 'available', 'our', 'or', 'on', 'put']","['our campus could provide food whether its free or low cost our campus does have a food pantry but it is only available twice per month and requires an nmsu id number some students have said they are more comfortable with a pantry that does not require an id or seeing anyone at all while they grab what they need from the pantry ', 'have a food pantry on campus', 'have a campus food pantry']","['more advertisement on the campus food pantry and the options available at the apartments ', 'my college is currently opening a food pantry at our other location and a small pantry at this location i believe it is going to help many students and hopefully staff as well', 'lessen restrictions on campus food pantry use', 'i think that with several new grant nmhu has done a great job of keeping the food pantry and making food option available especially for students', 'our campus could provide food whether its free or low cost our campus does have a food pantry but it is only available twice per month and requires an nmsu id number some students have said they are more comfortable with a pantry that does not require an id or seeing anyone at all while they grab what they need from the pantry ']"
17,45,17_its_not__,"['its', 'not', '', '', '', '', '', '', '', '']","['its not', 'its not', 'its not']","['its not', 'its not', 'its not', 'its not', 'its not']"
18,43,18_about_worrying_bills_focus,"['about', 'worrying', 'bills', 'focus', 'hard', 'sometimes', 'how', 'my', 'stress', 'work']","['i am not able to put forth my best self and my best work when i am hungry and stressing about how to pay the bills  we are judged on how we show up and its hard when your clothes are old you need a haircut you cant contribute to an office gift or potluck cant afford the healthcare that you need etc i know that i could be doing more in my work if i wasnt carrying the weight of this stress with me all the time and i had the money that i need to take care of myself ', 'makes it hard to concentrate worrying about paying bills', 'sometimes i cannot focus on work because i am working about how to pay bills and get food']","['sometimes i lack focus because i worry about not finding a place to stay when i wear out my welcome at brothers home', 'normally it doesnt it is not the main concern i have in terms of the questions asked fluctuations in bills sometimes cause stress but i work hard to budget and cut back if needed', 'preoccupies my brain and emotional power i drag myself to work have a hard time connecting with people and having patience since some days these insecurities are greater i have a lower productivity level ', 'hard not to think about debt while at work', 'it affects me in how i think and learn new tasks at work when i dont have enough food or worried about my rent its more challenging to dig in and keep going ']"
19,41,19_inflation_increase_raise_rising,"['inflation', 'increase', 'raise', 'rising', 'pay', 'years', 'match', 'with', 'over', 'give']","['need better pay with this rising inflation', 'pay more and keep up with inflation give raises when there is inflation ', 'inflation']","['it makes me angry that its so hard to get a raise in line with inflation ive been with unm for over 15 years and while we get good benefits those are also extremely expensive even as a single mom i shouldnt have to struggle this much after this many years ', 'need better pay with this rising inflation ', 'makes me take on a heavier workload to counter inflation and rising costs and make ends meet', 'inflation', 'no job is requested if prices rise']"
20,40,20_bad_ok_half_good,"['bad', 'ok', 'half', 'good', 'fine', 'now', 'sicne', 'assited', 'lets', 'mildly']","['not bad', 'not half bad', 'not half bad']","['not that much sicne am assited by my patner ', 'slightly', 'huge', 'a little', 'not bad']"
21,38,21_living_cost_wages_salaries,"['living', 'cost', 'wages', 'salaries', 'increase', 'insurance', 'pay', 'of', 'deductions', 'our']","['increase salaries to match the cost of living in the area', 'allow us to control how much we contribute to out retirement i canâ€™t afford to give 10 of my paycheck at this time offer an affordable plan for meals at the dining hall for staff increase our department budget so we can hire more staff that will support our needs including drivers facilities management in athletics admin staff or gas allow athletics to hire student workers as needed we are working off a budget of 40k per year to staff our home events and any other needs i work every home event and often donâ€™t have a day off i would have time for my masters degree and the ability to pay my rent if these things happened ', 'ask for budget increase or seek additional funding to be able to increase salaries that match the high cost of living in this area ']","['always competing to get full time work to rise above the cost of living since covid changed everything ', 'compensation for all jobs needs to be reevaluated benefits cost for medical needs to be reevaluated regarding the 203040 percent requirement ', 'provide stipends for the cost of living expenses ', 'allow us to control how much we contribute to out retirement i canâ€™t afford to give 10 of my paycheck at this time offer an affordable plan for meals at the dining hall for staff increase our department budget so we can hire more staff that will support our needs including drivers facilities management in athletics admin staff or gas allow athletics to hire student workers as needed we are working off a budget of 40k per year to staff our home events and any other needs i work every home event and often donâ€™t have a day off i would have time for my masters degree and the ability to pay my rent if these things happened ', 'yearly cost of living increase ']"
22,37,22_help_assistance_people_need,"['help', 'assistance', 'people', 'need', 'get', 'support', 'helping', 'hope', 'counseling', 'those']","['we need help', 'people by and large need to be responsible for their wellbeing  the bible states that every able bodied person should work to support themselves and contribute to the support of others in need  yes sometimes assistance is needed and that is why i donate and volunteer at a food pantry in my home community  ', 'thank you for asking these questions many of us are stuck btw not qualifying for assistance and not being able to pay the bills  we need more services on a sliding scale when someone does not qualify for assistance bc theyre 20 over the income limit that 20 is not enough to pay for any services  ']","['collect funds for those who need assistance', 'allow people to take care of themselves and do not provide any type of assistance', 'i hope it can be improved', 'more support and financial help', 'have events to discuss this including formation on how to get help where to get help and wherehow to donate for those who can or are willing to']"
23,36,23_faculty_staff_wages_pay,"['faculty', 'staff', 'wages', 'pay', 'earn', 'salaries', 'better', 'and', 'teaching', 'than']","['increase salaries for faculty and staff', 'pay higher wages to staff the fact that faculty get bonuses and incentives and annual raises every single year whereas staff has only seen an increase in the last couple of years is absurd staff often work harder than faculty and without the perks of fom and annual raises and bonuses you cannot discuss equity without talking about the glaring issue that faculty earn so much more than staff and many have simply completed a basic degree ', 'the pay is insufficient even for faculty who have been here many years  students who we encourage to get an education see people with 10  years of university and phds earning less than a manager at a starbucks with a high school diploma  they take note of this and basically think we are stupid to go into a profession that pays so little  the colleges view is that if anyone in teaching wants to earn good money get out of teaching as fast as possible and go into administration because thats where the money is  but what if teaching is our gift and we want to share that but also earn a decent salarythe college doesnt care the board and the legislature doesnt have a clue and they think administrators are more qualified nothing could be further from the truth or that they have more responsibility    but they are constantly saying that we the faculty are facetoface with students and thats the most important thing but obviously it isnt because they wont pay us what were worth  so many people are leaving this profession because of poor treatment  never say people dont go into education for the money its a vocation no it isnt its a job a job that requires years of graduate school  we earn and deserve decent paywere not mother theresa were people who want to look after our families ']","['professor salaries have fallen so much i have to work a second job to make ends meet', 'i am often stressed or thinking about extra ways to make money to supplement my faculty income ', 'increase pay for its employees vouchers for students', 'raise wages across the board living wages for grad students research students and post docs higher wages for all staff lower insurance costs lower tuition costs lower student housing costs stop catering to business models and start treating the school as a public service ', 'they could pay us better instead of giving the raises to executive administration they could provide better housing for faculty and staff as well as students ']"
24,34,24_resources_students_information_available,"['resources', 'students', 'information', 'available', 'reach', 'website', 'them', 'services', 'more', 'known']","['more awareness of lobopantry  i became more aware of it during the pandemic continue raising more visibility to faculty if resources to support students consider how the fragmentation of information across jnmâ€™s website might lead to missed opportunities to support students consider a ux designer consult for our website', 'have more resources for students ', 'students are often left in the dark about resources that are meant for them we have been struggling to find a way to get word out about services and resources like the food pantry we ahve tried class visits posting on canvas emails etc and students are still unaware ']","['i work with students and sometime have to find resources for them', 'just continue to address the problem  try to reach more students in need', 'more easy access options for students that donâ€™t require them to look for or apply for resources ', 'help not only students but staff ', 'making more services available and known to students ']"
25,34,25_loans_students_housing_help,"['loans', 'students', 'housing', 'help', 'financial', 'aid', 'state', 'and', 'provide', 'federal']","['expand financial aid for basic needs increase financial aid for students in need of assistance with food and housing costs this could include grants loans and workstudy opportunities', 'colleges and universities can help address food and housing insecurity in several ways these can include providing emergency food and housing assistance increasing access to affordable housing providing free food pantries and offering education and programs to help students better manage their finances additionally schools can partner with outside organizations to provide students with additional resources such as legal aid and mental health support', 'i having been a student in the bad old days some of the issues with food was that i did not qualify for any assistance  my undergraduate was from texas am and they had a great program from former students that supplied loans that did not have interest to pay tuition which could be paid off at the end of semester  there were enough jobs around that i could work several and pay it off  graduated without debt  here there are not enough jobs even though the city is much bigger and federal loans is the only way especially for graduate students to make ends meet  the grad students at texas had health insurance which eased my burden  of course the state had approved such a thing  ']","['provide more opportunities for students to learn more about programs to help with food and housing insecurity ', 'im not convinced universities are the place for solutions i think other holistic support provides by experts would be more useful and fixing the systemic issues underlying poverty and food insecurity ', 'they have made active strides to provide for students with the limited funding they receive from the state it is hard to serve students and staff what they need with grant assistance from the state we could help solve food insecurity in rural areas such as this', 'they should find programs that is not a loan or use the term loan it drives people away and misleading when some of the program are free without payback', 'i am not really sure there would be anything a college could do to help i mean other then share resources from the community that could help such as snap or food bank']"
26,34,26_itâ_donâ_theyâ_doesnâ,"['itâ', 'donâ', 'theyâ', 'doesnâ', 'hasnâ', 're', 'isnâ', 'know', 'iâ', 'wish']","['i donâ€™t know ', 'i donâ€™t know ', 'donâ€™t exploit your foreign employees and assume theyâ€™ll take that because theyâ€™re foreigners ']","['it just doesâ€¦', 'it doesnâ€™t ', 'it hasnâ€™t i manage ', 'it doesnâ€™t ', 'it isnâ€™t ']"
27,34,27_food_provide_more_options,"['food', 'provide', 'more', 'options', 'variety', 'vendor', 'availability', 'services', 'available', 'choices']","['support a food vendor with consistent hours of operation and in a way that food prices are relatively inexpensive and with at least some healthy options', 'have more food options', 'programs  services need to adapt existing services to accommodate shifts in the client base such as providing foodshelter assistance and other kinds of housing or financial assistance']","['i am finally able to provide food for myself with snap', 'programs  services need to adapt existing services to accommodate shifts in the client base such as providing foodshelter assistance and other kinds of housing or financial assistance', 'limited options mean limited food im still able to work it is the accumulation of other bills that makes good food choices harder', 'give more access to food ', 'support a food vendor with consistent hours of operation and in a way that food prices are relatively inexpensive and with at least some healthy options']"
28,33,28_not_really_bod_,"['not', 'really', 'bod', '', '', '', '', '', '', '']","['not', 'not', 'not']","['not', 'not', 'not ', 'not ', 'not']"
29,32,29_focus_unable_hard_concentration,"['focus', 'unable', 'hard', 'concentration', 'makes', 'concentrate', 'tasks', 'cannot', 'work', 'focused']","['unable to focus', 'hard to focus', 'hard to focus']","['unable to focus completely in work', 'falta de concentration y participacion disponibilidad', 'inability to focus or commit', 'i get distractedcant focus sometimes', 'it makes it hard to concentrate on my job ']"
30,31,30_adjuncts_adjunct_pay_wage,"['adjuncts', 'adjunct', 'pay', 'wage', 'first', 'living', 'professors', 'lost', 'an', 'better']","['pay adjuncts a living wage', 'pay adjuncts a living wage ', 'pay adjuncts more']","['keep a job because it pays better adjunct where i can to make ends meet', 'i would like to have a wagesalary that reflect the amount of work i do for my adjunct position ', 'please increase salary for adjunct faculty', 'pay adjuncts a reasonable wage', 'they could pay us a living wage after taxes i make about 12 dollars an hour again my position requires years of experience and a masters degree']"
31,29,31_say_answer_prefer_comment,"['say', 'answer', 'prefer', 'comment', 'suggestions', 'let', 'previous', 'ideas', 'thought', 'mind']","['i prefer not to answer', 'prefer not to say', 'prefer not to say']","['i try not to let it', 'i dont let it', 'it doesnt care to say i dont let it', 'prefer not to say', 'prefer not to answer']"
32,29,32_doesnt_it_moment_younger,"['doesnt', 'it', 'moment', 'younger', 'luckily', 'fortunately', 'blessed', 'thankfully', 'fortunate', 'realize']","['it doesnt', 'it doesnt', 'it doesnt ']","['i am blessed that is does not', 'it doesnt', 'it doesnt', 'it doesnt', 'it doesnt']"
33,28,33_time_this_at_never,"['time', 'this', 'at', 'never', 'not', 'times', 'way', 'isnt', 'often', 'no']","['not at this time  ', 'not at this time ', 'not at this time']","['never ', 'it is not at this time', 'at times', 'never', 'never']"
34,28,34_free_students_faculty_breakfast,"['free', 'students', 'faculty', 'breakfast', 'meals', 'provide', 'meal', 'special', 'lunch', 'for']","['provide free faculty breakfast lunch and dinner free faculty housing to solve the worries of faculty', 'provide free meals to students', 'provide free food to students']","['free nutritious meals for faculty would help', 'give full time faculty meal passes during the semester', 'provide free food to students', 'free food or lower priced for the students ', 'offer meal plans to employees part time students']"
35,28,35_que_de_la_los,"['que', 'de', 'la', 'los', 'un', 'comida', 'con', 'por', 'para', 'mi']","['apilar con comida en buenas condiciones que no estã© caducada y sea comida fresca y saludable y apilar con vivienda a los que viven fuera en la calle siempre y cuando quieran superarse', 'me gustaria que los bancos y las agencias que ofrecen alimentos no preguntaran por documentos que las personas no tienen para poder ser elegibles para la comida', 'aumentar mi salario sin que me lo quite mi aseguransa por que nomas nos suven un poco la aseguranza se queda con el']","['cheque a cheque pero sale la quincena ', 'de manera que afecta mi salud fisica y mental', 'no cuento con muchos ingresos ', 'mi trabajo no esta afectado pero me afecta la inseguridad de mi comunidad especialmente a los que sirvo todos los dias', 'etoy agradecida de tener un empleo']"
36,27,36_nothing_else_share_perceived,"['nothing', 'else', 'share', 'perceived', 'luna', 'input', 'shouldnt', 'anything', 'problems', 'think']","['nothing', 'nothing ', 'nothing']","['nothing', 'nothing because i am perceived as someone who shouldnt have these problems', 'nothing for me', 'nothing', 'im not sure what else luna could do']"
37,26,37_meals_cheaper_options_meal,"['meals', 'cheaper', 'options', 'meal', 'healthy', 'provide', 'mostly', 'nutritional', 'served', 'affordable']","['i can only afford to cook at home mostly we have ground beef or chicken potatoes rice or pasta and bread that is not good when im diabetic ', 'provide affordable meal options ', 'have cheaper healthier food when i was a contractor stationed at intel they served healthy food for 1 during the covid pandemic there were not many options but they served breakfast lunch and dinner at certain hours of the day']","['i mostly eat foods that i fear are contributing to my prediabetic condition but are affordable', 'i can only afford to cook at home mostly we have ground beef or chicken potatoes rice or pasta and bread that is not good when im diabetic ', 'provide healthy and inexpensive food optionschoices', 'offer a more varied menu other than fast food that is reasonably priced vending machines that offer a better choice than chipscookies over 130', 'cheaper food options']"
38,25,38_affecting_work_my_is,"['affecting', 'work', 'my', 'is', 'it', 'currently', 'not', 'affect9ng', 'thankfully', 'employment']","['it is not affecting my work', 'it is not affecting my work', 'it is not affecting my work']","['it is making me look for other employment', 'it is not currently affecting my work or situation', 'it is not affecting my work', 'it is not affecting my work', 'it is not affect9ng my work']"
39,25,39_applicable_not_engaged_lucky,"['applicable', 'not', 'engaged', 'lucky', 'either', 'am', 'me', 'to', '', '']","['not applicable', 'not applicable', 'not applicable']","['not applicable', 'not applicable', 'not applicable', 'not applicable ', 'not applicable']"
40,25,40_pantry_students_food_we,"['pantry', 'students', 'food', 'we', 'it', 'about', 'read', 'alleviate', 'so', 'everyone']","['biology has a food pantry because we found that students are hungry during the day so we provide a place for them to grab a bite during the day or take home something for supper  we are aware that hunger is an issue and we are trying to do a little to alleviate that situation for those who need it', 'it is good that we have a food pantry for students and staff however it seems so secretive about its processes  a more transparent distribution system would help alleviate the stigma of going there for many students i donate to the food pantry quite often but i have never seen it or seen anyone accessing it  ', 'i think the food pantry is a wonderful feature but i think that we need to provide more access to fresh foods and culturally significant foods we have a diverse student body from many cultures and providing opportunities for then to have food familiar to them is important maybe grocery vouchers instead of the food pantry or in addition to it so that students could get food that arent normally donated ']","['today is our grand opening for daccâ€™s comfort casita food pantry we hope this will help all students with food insecurities  ', 'work more with students to access food pantry open a cafe or cafeteria', 'food pantry meals on site for students and staff ie box lunches', 'provide a better stocked pantry and make it more accessible to students', 'have a food pantry for everyone not just students  ']"
41,24,41_cnm_montoya_pantry_assistance,"['cnm', 'montoya', 'pantry', 'assistance', 'nice', 'great', 'offers', 'food', 'id', 'thats']","['provide how meals at montoya campus cnm', 'cnm does food banks which is really nice  anyone with an id can get food students and faculty  great job cnm', 'not many food options on the cnm campus']","['cnm does a food pantry expanding and increasing how often it offers food as well as the types of food couldnt hurt', 'provide how meals at montoya campus cnm', 'i think the food pantry is a great wait to address food insecurity but i think we need to do more at cnm i would love to see the food pantry grow to more become a place where students staff and faculty can go for clothing furniture assistance with apply for stategovernment assistance legal and mental counseling etc ', 'more days open for the cnm main campus food panrty  its only open once a week and the line is always wrapped around the building  students and some employees need more', 'the food pantry at cnm is tremendous when i was able to get to the pantry i always had fresh fruit and veggies ']"
42,23,42_worry_will_bills_enough,"['worry', 'will', 'bills', 'enough', 'about', 'rent', 'worrying', 'constant', 'able', 'mortgage']","['just the constant worry of whether or not i will be able to pay rent and get groceries', 'i worry about my next meal or if i will have enough money to pay my rent and additional bills as well as gas', 'more at the level of a constant worry will rent go up and force us to move will we make enough to pay all the bills and buy food for us and pets  will i get enough classes to be able to pay off what we have to put on credit card that kind of thing']","['i just worry that i wont be able to make my mortgage payment ', 'i worry i will never be able to afford a place of my own because costs and interest rates are out of control', 'i worry about my next meal or if i will have enough money to pay my rent and additional bills as well as gas', 'not really just got a full time job and insurance hope things will get better ', 'right now work and my ability to obtain food and housing has been fine  more income would be great but i am doing okay right now i worry about increasing costs and my salary not being able to keep up if that happens ill need to look at another job but right now it is okay']"
43,23,43_life_hard_work_get,"['life', 'hard', 'work', 'get', 'harder', 'done', 'gotta', 'healthily', 'baby', 'thus']","['life will get better and better', 'life is hard', 'it is making it difficult to get ahead and thus my quality of life has suffered ']","['tired of working but its gotta get done', 'i still get all my work done on time', 'just try to work more ', 'i cannot drive to work all 5 days', 'it can be hard']"
44,23,44_sure_im_unsure_idea,"['sure', 'im', 'unsure', 'idea', 'know', 'not', 'do', 'unknown', 'knowledgeable', 'question']","['im not sure', 'im not sure', 'im not sure']","['unsure', 'im not sure ', 'i have no idea ', 'good question ask them', 'i have no idea']"
45,22,45_moment_at_isnt_not,"['moment', 'at', 'isnt', 'not', 'currently', 'sorry', 'noticed', 'it', 'now', 'present']","['not at the moment', 'it is not at the moment', 'at the moment it is not']","['currently it is not', 'it isnt currently', 'no at present', 'it isnt currently', 'at the moment it isnt']"
46,21,46_does_it_not_alot,"['does', 'it', 'not', 'alot', 'already', 'doesnt', 'make', 'work', '', '']","['it does not ', 'it does not', 'it does not']","['it does not', 'it does not', 'it does not', 'it does not', 'it does not']"
47,21,47_vouchers_stores_grocery_donate,"['vouchers', 'stores', 'grocery', 'donate', 'boxes', 'donation', 'pantries', 'case', 'items', 'food']","['food pantries or vouchers', 'provide vouchers to those who need it', 'food vouchers utilities vouchers']","['provide an anonymous  food pantry or vouchers available to everyone not just select groups', 'partner with grocery stores and companies like pepsi who can donate food and beverages and receive tax write offs to offset the donation', 'there could be free food boxes where people can donate food and also take it', 'more food pantry donations that are advertised instead of once a year advertisement  ', 'provide vouchers to those who need it']"
48,20,48_resources_available_promote_more,"['resources', 'available', 'promote', 'more', 'advertise', 'say', 'fits', 'audience', 'target', 'judgmental']","['provide more resources for the community ', 'more resources ', 'community resources']","['using work resources to network and to find available resources where my unique criteria fits', 'promote it more ', 'do more events that displayshare the resources available ', 'just continue to promote  share what is available', 'continue providing resources']"
