Topic,Count,Name,Representation,Representative_Docs
9,58,9_none_12_121_moment,"['none', '12', '121', 'moment', 'any', 'no', 'more', 'at', 'think', 'all']","['none', 'none', 'none']"
10,53,10_survey_thank_this_you,"['survey', 'thank', 'this', 'you', 'hope', 'conducting', 'for', 'results', 'thanks', 'research']","['Thank for this survey', 'No, thank you for this survey!', 'Thank you for this survey. ']"
11,52,11_na_virtually_ninguna_ni,"['na', 'virtually', 'ninguna', 'ni', 'nada', 'jonen', 'afectan', 'respect', 'work', 'no']","['Na', 'Na', 'Na']"
12,52,12_no_yes__,"['no', 'yes', '', '', '', '', '', '', '', '']","['No.', 'No.', 'No. ']"
13,50,13_affect_work_my_affecting,"['affect', 'work', 'my', 'affecting', 'doesn', 'it', 'does', 'not', 'let', 'believe']","['It does not affect my work.  ', 'It does not affect my work', 'It does not affect my work.']"
14,50,14_doesn_does_it_not,"['doesn', 'does', 'it', 'not', 'moment', 'alot', 'doesâ', 'younger', 'luckily', 'fortunately']","[""It doesn't."", ""It doesn't."", ""It doesn't.""]"
15,43,15_students_worry_affects_impacts,"['students', 'worry', 'affects', 'impacts', 'my', 'personally', 'it', 'class', 'greatly', 'directly']","[""It doesn't affect me directly, but it affects my work because I work with students."", ""It doesn't affect me, but I worry about my students."", 'I worry for my students. It does not affect me personally.']"
16,43,16_housing_rent_find_afford,"['housing', 'rent', 'find', 'afford', 'senior', 'expensive', 'rentals', 'in', 'move', 'here']","[""Allow work from home if a presence isn't needed! It's expensive to commute and eat out. For housing - have senior housing.  Not sure how it would be allocated..but senior housing once you can't live independently is incredibly expensive - over 3500 for an efficiency..."", ""I am currently living in senior housing, but now that I'm working full time I will have to find new housing. Rents are so high I have been searching for a house, but can't find anything in my approval range that doesn't require major repairs I can't afford. I'm very worried about finding affordable housing when I have to leave here. Anxiety/depression when condos I thought I might be able to afford fell through because of huge repair costs. I normally do not have anxiety/depression."", ""Rent for housing in Gallup is high; home prices are also expensive. I don't know if I would qualify for a mortgage out here even though I've previously owned 2 other homes. But if I did, the money we saved between the rent and the mortgage would go to student loans. I couldn't even use that $ to offset the costs of inflation/COLA.""]"
17,42,17_is_it_not_thankfully,"['is', 'it', 'not', 'thankfully', 'ok', 'fortunately', 'am', '', '', '']","['It is not. ', 'It is not.', 'It is not.']"
18,39,18_is_it_not_,"['is', 'it', 'not', '', '', '', '', '', '', '']","['It is not', 'It is not', 'it is not']"
19,36,19_worry_bills_my_about,"['worry', 'bills', 'my', 'about', 'able', 'will', 'just', 'mortgage', 'work', 'every']","['In one of the text boxes I explained this but I want to share it here so it is obvious. I\'m temporary part-time faculty but I\'m working OVER ""full-time"". I work more than a full-time employee (depending on the semester). This semester I\'m 108% employed. Despite this insane amount of work, I make very little, worry about saving for retirement, don\'t have any job security, don\'t have reliable benefits, and feel my only option to make this work is to live with my parents and eat their food.', ""Right now, work and my ability to obtain food and housing has been fine - more income would be great but I am doing okay right now. I worry about increasing costs and my salary not being able to keep up. If that happens, I'll need to look at another job but right now it is okay."", 'I worry about my next meal or if I will have enough money to pay my rent and additional bills as well as gas.']"
20,35,20_help_assistance_people_need,"['help', 'assistance', 'people', 'need', 'support', 'hope', 'get', 'their', 'ashamed', 'those']","['We need help', ""Some people are ashamed of their situation and don't ask for help. Their needs to be a group that watches people so they can get help. "", 'Help more']"
21,34,21_donâ_itâ_theyâ_doesnâ,"['donâ', 'itâ', 'theyâ', 'doesnâ', 'hasnâ', 'isnâ', 'know', 're', 'iâ', 'permit']","['I donâ€™t know ', 'I donâ€™t know ', 'Donâ€™t exploit your foreign employees and assume theyâ€™ll take that because theyâ€™re foreigners. ']"
22,32,22_more_food_fruit_provide,"['more', 'food', 'fruit', 'provide', 'options', 'available', 'variety', 'distribution', 'hours', 'better']","['Have more food options available.', 'Have more food options available', 'more food']"
23,31,23_faculty_staff_pay_raise,"['faculty', 'staff', 'pay', 'raise', 'paid', 'part', 'time', 'extra', 'salaries', 'less']","['increase salaries for faculty and staff', ""When inflation hit, my rent, groceries, and utilities started going on credit cards.  With inflation still above 6% and faculty's 2022 raise at 4%, I am losing income by continuing to work at SFCC.  I'm sure any raise in 2023 will also mimic last year, being under 5% for faculty, and administrators will receive at least 10%, so that any legal requirements imposed can be met, such as a 7% average across the institution."", 'Pay higher wages to staff. The fact that faculty get bonuses and incentives and annual raises every single year, whereas staff has only seen an increase in the last couple of years is absurd. Staff often work harder than faculty and without the perks of FOM and annual raises and bonuses. You cannot discuss equity without talking about the glaring issue that faculty earn so much more than staff, and many have simply completed a basic degree. ']"
24,31,24_hasn_has_never_yet,"['hasn', 'has', 'never', 'yet', 'not', 'it', 'oct', 'compared', 'past', '10']","[""It hasn't. "", ""it hasn't"", ""It hasn't ""]"
25,31,25_focus_about_worrying_bills,"['focus', 'about', 'worrying', 'bills', 'hard', 'sometimes', 'worry', 'my', 'because', 'work']","['It can be hard to focus when you are stressed about bills.', 'I struggle with depression, I bust my ass off at work, I make sure my son is happy, healthy loved, I do struggle to make rent, My car broke down, my rent increased, and I am a single mother. I just want a little bit of luck to come my way so I can breathe for a second or just take my son out to a buffet and we both can eat as much as we would like. dreams. I try to stay positive but it does get very tough sometimes. That is my truth... I know it will not always be this way but that is what keeps me going, and waking up everyday and pushing myself.', 'Hard to focus sometimes, worry about money']"
26,30,26_hot_meals_options_meal,"['hot', 'meals', 'options', 'meal', 'provide', 'cheaper', 'diabetic', 'inexpensive', 'affordable', 'mostly']","['Serve hot meals.', 'Provide affordable meal options. ', 'Provide hot meal options that are at a reasonable price.  ']"
27,30,27_focus_unable_hard_concentration,"['focus', 'unable', 'hard', 'concentration', 'concentrate', 'distracted', 'cant', 'inability', 'tasks', 'cannot']","['Unable To Focus', 'hard to focus', 'Hard to focus.']"
28,30,28_adjuncts_adjunct_pay_wage,"['adjuncts', 'adjunct', 'pay', 'wage', 'first', 'living', 'year', 'salary', 'lost', 'better']","['Pay adjuncts a living wage.', 'Pay adjuncts a living wage.', 'pay adjuncts more']"
29,28,29_que_de_la_los,"['que', 'de', 'la', 'los', 'un', 'por', 'con', 'comida', 'para', 'mi']","['Apilar con comida en buenas condiciones que no estÃ© caducada y sea comida fresca y saludable y apilar con vivienda a los que viven fuera en la calle siempre y cuando quieran superarse', 'aumentar mi salario sin que me lo quite mi aseguransa por que nomas nos suven un poco la aseguranza se queda con el', 'Me gustaria que los bancos y las agencias que ofrecen alimentos no preguntaran por documentos que las personas no tienen para poder ser elegibles para la comida.']"
30,28,30_not_bod__,"['not', 'bod', '', '', '', '', '', '', '', '']","['Not', 'not', 'Not']"
31,27,31_nothing_else_share_luna,"['nothing', 'else', 'share', 'luna', 'input', 'think', 'anything', 'everything', 'time', 'cannot']","['nothing', 'Nothing', 'Nothing']"
32,27,32_affecting_work_my_currently,"['affecting', 'work', 'my', 'currently', 'is', 'it', 'not', 'thankfully', 'affect9ng', 'normalize']","['It is not affecting my work', 'It is not affecting my work', 'It is not affecting my work. ']"
33,26,33_cnm_montoya_pantry_assistance,"['cnm', 'montoya', 'pantry', 'assistance', 'food', 'nice', 'great', 'offers', 'the', 'promote']","['Provide how meals at Montoya campus (CNM)', 'CNM does food banks, which is really nice.  Anyone with an ID can get food, students and faculty.  Great job CNM.', 'Not many food options on the CNM campus.']"
34,25,34_say_prefer_comment_suggestions,"['say', 'prefer', 'comment', 'suggestions', 'ideas', 'answer', 'thought', 'don', 'let', 'opener']","[""Don't want to say"", 'Prefer not to say', 'Prefer not to say']"
35,25,35_applicable_not_engaged_lucky,"['applicable', 'not', 'engaged', 'lucky', 'either', 'am', 'me', 'to', '', '']","['Not applicable', 'not applicable', 'not applicable']"
36,24,36_all_at_not_moment,"['all', 'at', 'not', 'moment', 'the', '', '', '', '', '']","['Not at all ', 'not at all', 'Not at all']"
37,24,37_students_aid_state_provide,"['students', 'aid', 'state', 'provide', 'loans', 'critical', 'financial', 'and', 'funding', 'housing']","['Expand Financial Aid for Basic Needs: Increase financial aid for students in need of assistance with food and housing costs. This could include grants, loans, and work-study opportunities.', ""The prevalence of poverty and food insecurity in the state and DoÃ±a Ana County dramatically highlight the need for basic needs support for our students in higher education in the state. Our legislators, elected reps, and state dept. of higher ed. need to be made aware of this. Thank you, UNM for conducting this study to provide the data that will be critical to forcing state leadership's attention to the issue."", 'I Having been a student in the bad old days some of the issues with food was that I did not qualify for any assistance,  My undergraduate was from Texas A&M and they had a great program from former students that supplied loans that did not have interest to pay tuition which could be paid off at the end of semester.  There were enough jobs around that I could work several and pay it off.  Graduated without debt.  Here there are not enough jobs even though the city is much bigger and federal loans is the only way, especially for graduate students, to make ends meet.  The grad students at Texas had health insurance which eased my burden.  Of course, the state had approved such a thing.  ']"
38,24,38_sure_not_unsure_im,"['sure', 'not', 'unsure', 'im', 'thanks', 'asking', 'idea', 'no', 'for', 'to']","['Not sure', 'not sure', 'Not Sure.']"
39,24,39_it_not__,"['it', 'not', '', '', '', '', '', '', '', '']","[""It's not"", ""It's not"", ""It's not""]"
40,24,40_nn_me_affecting_work,"['nn', 'me', 'affecting', 'work', 'my', 'not', 'for', 'to', '', '']","['n/a to me', 'nN/A', 'n/a for me']"
41,23,41_affecting_affected_not_jt,"['affecting', 'affected', 'not', 'jt', 'unaffected', 'factor', 'mostly', 'it', 'all', 'its']","['Not affecting', 'Not affecting', 'Not affecting']"
42,23,42_resources_advertise_available_promote,"['resources', 'advertise', 'available', 'promote', 'more', 'say', 'providing', 'share', 'bulletins', 'kiosks']","['Community resources', 'More resources ', 'more resources and advertise them more']"
43,22,43_anxious_anxiety_makes_feeling,"['anxious', 'anxiety', 'makes', 'feeling', 'me', 'tension', 'severe', 'emotional', 'gatherings', 'scared']","['anxious,', 'It makes me feel anxious', 'makes me anxious']"
44,22,44_rising_prices_groceries_grocery,"['rising', 'prices', 'groceries', 'grocery', 'costs', 'expensive', 'of', 'food', 'going', 'increasing']","['100$ in groceries each week does not buy you what it use to . We never eat out, do not have any debt, and are a family of 4. Making our pay stretch for 2 weeks is almost impossible and we are close to running out of groceries by the next pay period.', 'Higher pay to compete with rising prices of groceries or having more available at food pantries', 'Rising costs of food are putting a strain on my budget even though I am not food or housing insecure. Rising costs of medical insurance are the same way. Although I have some extra money to spend on leisure, that percentage is going down significantly in recent months. My HH members and I have discussed getting chickens and growing food plants to help defray the costs of food.']"
45,21,45_housing_subsidies_welfare_low,"['housing', 'subsidies', 'welfare', 'low', 'government', 'lower', 'medical', 'subsidize', 'give', 'provide']","['provide food and housing subsidies', 'More advertising on where to access free food.  Better coordination and marketing of housing availability; it feels almost impossible to find info on shared housing, low-cost housing, shelter housing, what to do if you have NO housing, etc.', ""I would like for inflation to go down like it use to be, a few years ago. I would like to be able to have k-9 medical insurance or government programs to cover annual shots or spay/neuter from board-certified Vets only, for all households, not just low income. I think the government should look closer into low-income people because some have nicer things than I do. A lot of people who are low income have their nails done, hair done, the newest iPhone, name-brand clothes, and nice cars. They go out to eat A LOT. I might be able to live that way too if I didn't have to pay for food, housing, and medical expenses. They play the goverment. ""]"
46,21,46_time_this_at_not,"['time', 'this', 'at', 'not', 'times', 'way', 'no', 'in', '', '']","['Not at this time.', 'Not at this time.', 'Not at this time']"
47,20,47_santa_fe_mexico_high,"['santa', 'fe', 'mexico', 'high', 'in', 'ineligible', 'new', 'spend', 'of', 'living']","['The cost of living in Santa Fe is much to high. Almost everyone has to commute to work here.', ""I hope the state legislature will prioritize higher education as a way for students to gain access to better paying jobs as well as become more rounded and informed citizens. I'm glad elementary education and high school education are being more supported. But individuals working in higher education in New Mexico do not feel valued. I am concerned since I've seen staff and faculty leave the college to go work in the elementary and high schools since they can earn more pay there. They have more steps to earn higher wages, etc. in the lower-level schools. Our college needs to retain quality staff, adjunct and full-time faculty to meet the challenges in our community. "", 'Housing costs are too high for wages in NM.  Renting or owning...a one bedroom apartment in an average neighborhood costing $1400 or a mortgage costing 1400.  My take home pay does not allow for me to spend that much.  I rent from a friend of the family and they discounted the rent so I could stay there long term.  I do not have a vehicle payment.  I do not travel nor spend much on entertainment.  NM has never been good to me about wages versus cost of living.  I have always struggled in this state.  I am a graduate of NMSU and I have a masters degree.  I hope this helps.  I would like to ask the State of NM to think about adding the Roadrunner train to Socorro or a charter bus.  We currently use van pools and car pools.  I would like to ride the train.']"
48,20,48_isn_it_not_its,"['isn', 'it', 'not', 'its', '', '', '', '', '', '']","[""It's not."", ""It's not."", ""It's not.""]"
49,19,49_free_breakfast_faculty_lunch,"['free', 'breakfast', 'faculty', 'lunch', 'students', 'provide', 'events', 'dinner', 'meals', 'for']","['Provide free meals to students', 'Provide free faculty breakfast, lunch and dinner, free faculty housing, to solve the worries of faculty.', 'provide free food to students']"
50,19,50_free_events_planet_meals,"['free', 'events', 'planet', 'meals', 'cheap', 'waste', 'don', 'why', 'drive', 'that']","['Provide more free food', 'Free food', ""Zoom events don't work. HR offers all of these stupid online programs that are a waste of energy. Don't reward people with shit that isn't good for the planet. Stop buying cheap swag that transforms into trash upon receipt. Don't shop on Amazon.  Don't take athletes out for fast food on the road. Look at the problem with a wide angle lens instead of putting a band-aid on systematic issues. Giving people cheap food is less effective than exploring why they need it. Our planet is overpopulated by idiots. Stop having babies. The #1 ingredient in baby formula is corn syrup. This is the real problem; you'll never have a chance to get it right with a start like that. ""]"
51,19,51_unm_initiatives_programs_principles,"['unm', 'initiatives', 'programs', 'principles', 'actions', 'new', 'hardship', 'does', 'break', 'talk']","[""I fear getting sick or any medical issues because even with astronomically, stupidly high and borderline criminal price-gauging cost of health insurance we could be easily set back months. Perhaps UNM employees could get a much steeper discount for using UNM doctors? I'd be happy to get my health care from residents and doctors in training for cheaper health care. "", 'Contribute to existing efforts! The Dean of Students Office and LoboRESPECT Advocacy Center are already doing so much to help with food and housing insecurity! UNM has a tendency to recreate the wheel whenever someone new has an idea or slightly different way of approaching a problem. We need to work together to strengthen and build our existing programs. We need people working together towards the same goal, not people working on parallel but different goals. ', 'I have had the pleasure and enjoyed my work here at UNM especially with the students and staff. Unfortunately, I have had to make the hard decision to leave UNM to pursue other employment opportunities based on higher wages, less retirement deductions and no parking fees. UNM entity is a great establishment I am just so sad I have to leave based on my current needs financially. I am praying I can come back once all this financial hardship passes. I love the campus!  ']"
52,18,52_doing_they_job_already,"['doing', 'they', 'job', 'already', 'are', 'plenty', 'think', 'lot', 'great', 'do']","['They are doing a great job. ', 'I think they are doing a great job. ', 'I think they are doing a great job']"
53,18,53_cafeteria_open_canteen_dormitory,"['cafeteria', 'open', 'canteen', 'dormitory', 'build', 'land', 'deli', 'opened', 'facilities', 'company']","['HAVE A CAFETERIA!!!', 'have a cafeteria ', 'open a cafeteria']"
54,18,54_stress_anxiety_work_depressed,"['stress', 'anxiety', 'work', 'depressed', 'interferes', 'stability', 'like', 'increases', 'day', 'stressed']","['Iâ€™m always counting down to payday which creates stress and anxiety', 'Increases anxiety which interferes with sleep which interferes with getting to work on time and completing all of my job duties.', 'Preoccupies my brain and emotional power. I drag myself to work, have a hard time connecting with people and having patience since some days these insecurities are greater, I have a lower productivity level. ']"
55,18,55_bad_half_good_fine,"['bad', 'half', 'good', 'fine', 'mildly', 'severely', 'poorly', 'okay', 'slightly', 'ok']","['Not bad', 'not half bad', 'not half bad']"
56,18,56_all_at_not_,"['all', 'at', 'not', '', '', '', '', '', '', '']","['not at all', 'Not at all', 'Not at all']"
57,18,57_stress_stressed_causes_cope,"['stress', 'stressed', 'causes', 'cope', 'edge', 'mental', 'adds', 'stressing', 'distraction', 'keeps']","['Stress', 'stress', 'Stress']"
58,17,58_students_healthy_obtain_hungry,"['students', 'healthy', 'obtain', 'hungry', 'are', 'harder', 'countries', 'cancer', 'richest', 'departmental']","['Please provide meal vouchers for our health professional students - we do for resident physicians and our students are just as busy and quite often, more insecure. ', 'I spend between $200 and 300 each semester bringing fruit, healthy snacks and treats to my classes because I know some students are hungry and that can help them stay focused.', 'I often wonder how students are able to learn anything when they are so hungry.  We have a real problem here in Farmington.  The fast food industry is rampant, but not much of a good choice with respect to the food.  I would like to see healthier choices that would keep our community from diabetes, heart disease, and cancer.']"
59,17,59_isn_it_matter_didn,"['isn', 'it', 'matter', 'didn', '', '', '', '', '', '']","[""It isn't"", ""It isn't"", ""It isn't""]"
60,17,60_thank_you_no_thanks,"['thank', 'you', 'no', 'thanks', 'ery', 'some', 'much', 'offer', 'and', '']","['No thank you!', 'No thank you', 'No thank you ']"
61,16,61_lunch_bring_supposed_hour,"['lunch', 'bring', 'supposed', 'hour', 'work', 'back', 'eat', 'home', 'lunches', 'breakfast']","[""For me, it's not, really. But for those who get 1/2 hour for lunch, it probably is affecting their health and work because they'd need to bring food to work or eat snacks from the machines."", ""Lunch time is touch because I often push back my lunch hour to complete tasks at work and by the time I leave for lunch I feel rushed to come back due to it being outside of my allotted time so I usually don't eat until I get home after work."", 'I do not eat out for lunch.  I am the only person in my office who goes home to eat lunch.  It is cheaper.  I do not engage in that ""social"" aspect of lunch hour. Currently, I live in my parent\'s rental mobile home for free. This is supposed to be temporary.  I have a car payment and pay utilities.  I cannot afford the monthly car insurance that I am supposed to pay my parents. ']"
62,16,62_know_don_dont_phase,"['know', 'don', 'dont', 'phase', 'knew', 'seem', 'anyone', 'wish', 'idea', 'things']","[""I don't know"", ""I don't know"", ""I don't know.""]"
63,15,63_transportation_bus_route_shuttle,"['transportation', 'bus', 'route', 'shuttle', 'unm', 'city', 'paso', 'busses', 'rides', 'maybe']","[""I rely on ABQ city busses to get to/from work on UNM main campus. Reliability of the bus line I take (790) has become increasingly unreliable, especially for the morning route. The bus is often late to pick us up, or won't show up at all. "", 'The city of Albuquerque has decreased bus services; they discontinued a route that would place me within walking distance of my home. I now must ride later bus and walk in the dark home at lease 1-2 times a week. The commuter routes feel safer than the Lomas route (example) I have had two scary rides with people who had outbursts and were threatening to the bus driver and other passengers. the city bus is much more focused on down-town workers with regular work hours and not UNM workers who have later and earlier working hours that are not consistent. I  have only one car and share with my spouse so that I can afford for my disabled son to have transportation; I pay for the least expensive UNM parking, but park in the lot only about once a week. It is expensive parking for just once a week.', ""I appreciate that this survey exists. I think the public transportation piece is really important. We were excited about the Blue Bus, but haven't heard any updates. Is that still happening? It would be great if we could have a UNM-Taos shuttle that goes into town. It would be great advertising for UNM-Taos and could maybe even increase enrollment. ""]"
64,15,64_effect_affect_impact_no,"['effect', 'affect', 'impact', 'no', 'comparative', 'little', 'great', 'much', 'have', 'not']","['no effect', 'No effect.', 'No effect.']"
65,14,65_cafeteria_discount_steady_selection,"['cafeteria', 'discount', 'steady', 'selection', 'price', 'reasonable', 'serve', 'they', 'unmh', 'visitors']","['The food on the cafeteria is expensive and the discount is 10% discount is hardly a discount.', ""The cafeteria could start offering a la carte dishes, and serve people as individuals, and not forcing people to take a whole meal when all they want is a simple serving.  I'm not saying that they should offer less and cut everything down.  They just need to allow people to choose what they want to eat.  Maybe serve by the items of choice per person."", 'Have a better selection of nutritious food at cafeteria at a reasonable price.']"
66,14,66_insecurity_plates_students_many,"['insecurity', 'plates', 'students', 'many', 'lot', 'college', 'housing', 'teach', 'insecurities', 'office']","['Many more students here at Mesalands College are affected by food insecurity than is obvious from statistical data.  Many students do not wish their peers to know of their housing and food insecurity. ', ""I'm glad someone is researching higher ed communities in relation to food/housing insecurity, it's a privilege to go to college or to work at one, but that also doesn't exclude us from feeling the hurt of economic issues. Especially for my college--our student, faculty, and staff population are majority POC."", 'This food insecurity issue has been blown WAY out of proportion- In fact---I often see morbidly obese and just overweight and fat students all around campus- and I am not alone- when I lunch with co-workers we see obesity and students eating plates and plates of pizza- instead of a nutritious well balanced meal']"
67,14,67_vouchers_pantries_donate_food,"['vouchers', 'pantries', 'donate', 'food', 'case', 'some', 'items', 'grocery', 'pepsi', 'nonprofits']","['Grocery vouchers for those in need.  Food pantries may not provide some household items or food preferences.  ', 'Food pantries or vouchers', 'Food vouchers, utilities vouchers.']"
68,14,68_moment_isn_currently_it,"['moment', 'isn', 'currently', 'it', 'at', 'noticed', 'gone', 'present', 'is', 'not']","['At the moment it is not.', ""It isn't at the moment. "", ""At the moment, it isn't.""]"
69,13,69_healthy_sugar_unhealthy_foods,"['healthy', 'sugar', 'unhealthy', 'foods', 'eat', 'plan', 'snacks', 'allergies', 'unhealthily', 'hummus']","['Recognize there are people who have food allergies (gluten, soy, nuts, etc) that need to be able to access ""healthy for them"" foods', 'provide healthy snacks other than granola bars that are high in sugar and carbs. Some examples are nut, butters/celery, hummus/carrots, bell peppers, cheese/salami and electrolyte drinks (not Gatorade=high in sugar)', 'Not being able to easily pack in healthy food for lunch at work makes staying energized and engaged hard. Options for purchase are expensive, unhealthy or both. ']"
70,12,70_work_done_gotta_messages,"['work', 'done', 'gotta', 'messages', 'media', 'stops', 'word', 'text', 'brain', 'get']","['Work stops my brain from most of these things. But not always.', ""Tired of working but it's gotta get done"", 'Do more programs and keep getting the word out in emails, social media, text messages. ']"
71,12,71_all_at_not_,"['all', 'at', 'not', '', '', '', '', '', '', '']","['Not at all.', 'Not at all.', 'Not at all. ']"
72,12,72_sure_knowledgeable_answer_question,"['sure', 'knowledgeable', 'answer', 'question', 'not', 'am', 'unsure', 'ask', 'idea', 'them']","[""I'm not sure."", ""I'm not sure."", ""I'm not sure.""]"
73,12,73_tuition_totally_demand_fees,"['tuition', 'totally', 'demand', 'fees', 'example', 'free', 'affordable', 'universities', 'providing', 'academy']","['Students could very likely also use help with money management and budgeting -I have been shocked to see how much a student will spend at Starbucks but then say ""i have no money"" as an example.  Learning how to make better choices with the money that they have can make a big difference in their lives', 'Again, colleges and universities have been corporatized to the point of becoming diploma mills that charge too much tuition/fees and suffer from cognitive dissonance in terms of students needs by superficially providing support but not LOVE. ', 'Each state should provide a totally free on-demand/online option for earning a college degree.  The Khan Academy, for example, provides subject-matter lessons that are totally free, are available on demand, and are mostly far better at conveying useful information than in-class courses available at practically any of our public universities.']"
74,11,74_faculty_staff_pantry_open,"['faculty', 'staff', 'pantry', 'open', 'ingredients', 'healthy', 'cook', 'teach', 'you', 'allow']","['Have the food pantry also support faculty and staff', 'Have the food pantry open to staff and faculty that need it. Have more healthy food available.', ""Offer higher pay, additional food pantry support so that you don't feel like you are taking from students if you are staff, healthy cooking workshops with low cost and simple ingredients. ""]"
75,11,75_nope_nah__,"['nope', 'nah', '', '', '', '', '', '', '', '']","['Nope', 'Nope.', 'nope']"
76,10,76_options_selctions_affordable_pricing,"['options', 'selctions', 'affordable', 'pricing', 'costs', 'economic', 'bit', 'reduce', 'healthier', 'better']","['Affordable options', 'Better options and affordable. ', 'More affordable options']"
77,10,77_rent_was_lease_property,"['rent', 'was', 'lease', 'property', 'again', 'will', 'my', 'worry', 'about', 'rental']","[""It isn't affecting my work at this time.  My rent contract is due for renewal soon and I worry about the rent hike I know is coming.  My apartment complex has been sold twice in the last 5 years."", 'I was living with family for financial reasons, but was forced to move out when it became dangerous. During that time, it was very difficult to focus at work because  I was always worried about what was going to be waiting for me at ""home."" At this point, I\'m in a better living situation, but a worse financial one. The rental property I was able to find is very expensive for how much I\'m making, and I\'m currently the only employed person in the household.', ""Right now I'm at stable spot but I worry about new rental leasing with rent increases/landlords or property management not fulfilling their legal roles. My partner and I want to mortgage a house but it seems impossible. When we eventually face these issues I'm sure it will negatively affect my work.""]"
78,10,78_me_affecting_affect_does,"['me', 'affecting', 'affect', 'does', 'not', 'it', 'personally', 'affected', 'now', 'is']","['It is not affecting me.', 'It is not affecting me.', 'It is not affecting me. ']"
